CUSTOMER_ID,ORDER_NUMBER,MATERIAL_NUMBER
1,4,85
2,4,7
2,4,4
3,4,89
3,4,95
3,4,55
4,5,66
5,6,61
5,6,56
6,5,73
6,5,21
7,4,32
8,7,22
8,7,20
9,4,13
9,4,40
10,4,41
10,4,43
11,4,151
12,5,194
13,4,55
14,5,56
14,5,78
15,4,123
16,5,89
17,5,21
17,5,77
18,4,171
19,4,33
19,4,20
19,4,27
20,4,69
21,4,52
22,4,74
23,6,113
24,4,121
24,4,40
25,4,50
25,4,150
25,4,75
26,7,44
27,5,38
27,5,8
27,5,100
28,4,113
29,5,93
30,4,98
31,4,67
31,4,83
32,4,55
33,4,83
34,5,21
35,4,46
36,4,50
37,5,104
38,4,142
39,4,171
39,4,105
40,4,98
41,5,179
42,4,92
43,6,113
44,4,69
45,5,25
46,4,67
47,8,212
47,8,107
47,8,121
47,8,154
48,7,11
49,4,12
50,4,116
51,4,136
51,4,121
52,5,121
53,4,2
53,4,78
53,4,105
54,4,130
54,4,113
55,5,211
56,4,86
56,4,35
57,4,142
57,4,212
58,4,202
59,4,84
59,4,12
59,4,64
60,5,65
61,6,25
62,4,101
62,4,67
62,4,39
63,4,179
63,4,33
63,4,112
64,6,28
65,6,121
66,5,131
66,5,91
67,4,86
68,4,120
68,4,76
69,4,125
70,4,4
70,4,31
71,6,25
71,6,83
72,7,78
72,7,122
73,5,76
74,9,126
75,6,79
76,4,93
77,4,150
78,4,125
78,4,21
79,5,29
80,6,118
81,4,83
82,4,166
82,4,77
83,4,67
83,4,20
84,5,121
85,6,84
85,6,31
85,6,174
86,4,10
87,5,20
87,5,67
88,5,97
89,4,21
89,4,77
90,5,63
91,4,101
91,4,104
92,5,67
92,5,113
93,6,136
93,6,36
94,4,64
95,5,33
96,4,160
96,4,7
97,4,115
97,4,177
98,5,48
99,7,99
100,5,95
100,5,25
101,6,58
102,4,113
102,4,155
103,4,69
103,4,39
104,4,71
104,4,168
105,4,36
105,4,162
106,7,153
106,7,110
106,7,77
106,7,124
107,4,66
108,4,80
108,4,78
109,4,50
110,4,55
111,4,34
112,4,93
113,4,164
114,4,112
115,4,121
115,4,113
116,5,35
117,4,40
118,4,72
118,4,63
119,4,130
119,4,21
120,4,142
120,4,83
120,4,122
121,4,72
121,4,55
122,6,56
123,4,145
124,4,183
124,4,155
124,4,154
125,4,20
125,4,149
126,4,63
127,4,101
128,5,159
129,4,125
130,4,36
130,4,83
131,4,125
131,4,11
132,5,124
132,5,54
132,5,61
133,4,186
133,4,2
134,4,107
134,4,59
135,4,183
135,4,71
135,4,16
136,5,121
136,5,4
137,6,4
138,4,183
139,4,124
140,4,27
141,4,58
142,4,58
142,4,83
142,4,61
142,4,156
143,4,95
144,4,105
145,7,160
145,7,147
145,7,164
146,4,141
146,4,34
147,4,155
147,4,57
147,4,76
148,4,200
149,4,100
149,4,25
150,4,118
151,9,98
152,8,104
152,8,12
152,8,136
153,4,15
153,4,191
154,4,106
155,5,69
156,4,44
157,4,79
157,4,177
158,4,206
159,6,49
159,6,41
160,5,35
160,5,76
160,5,58
161,4,151
162,5,181
163,6,168
164,4,174
164,4,43
165,5,70
166,4,83
166,4,120
167,5,114
168,5,66
168,5,95
169,4,12
169,4,2
170,5,76
170,5,114
171,4,2
171,4,11
171,4,150
172,4,66
172,4,83
173,4,105
173,4,100
173,4,114
174,7,67
174,7,160
175,7,208
176,4,140
177,4,125
177,4,132
178,10,93
179,6,58
180,4,69
181,5,113
181,5,195
182,5,111
183,4,57
184,5,164
184,5,146
184,5,3
185,8,58
185,8,73
186,5,53
186,5,154
187,4,67
188,4,28
189,4,109
190,4,161
190,4,120
191,7,114
192,5,34
192,5,130
192,5,197
192,5,67
193,5,75
193,5,160
194,5,106
195,4,23
196,4,150
196,4,3
197,5,25
197,5,161
198,4,21
199,4,121
200,4,139
200,4,154
200,4,151
200,4,99
201,4,150
202,4,112
202,4,28
203,6,201
203,6,109
204,5,202
205,5,106
206,7,204
207,4,136
207,4,148
207,4,36
208,4,144
209,5,123
210,5,120
211,4,29
212,4,58
213,4,151
213,4,150
214,4,193
214,4,112
215,4,95
216,4,79
217,5,4
217,5,30
218,4,93
219,5,144
219,5,113
220,6,16
220,6,120
221,4,36
221,4,73
221,4,35
221,4,151
222,4,83
222,4,150
223,4,81
223,4,10
224,8,106
225,6,121
225,6,161
226,6,113
227,4,192
227,4,4
228,4,73
228,4,153
229,4,160
230,5,5
231,6,2
232,4,35
233,4,107
233,4,102
233,4,113
234,4,136
235,4,141
236,5,31
237,6,155
238,4,181
239,4,141
239,4,48
240,8,31
241,4,4
242,4,94
243,4,29
244,4,210
245,4,78
246,5,20
246,5,19
247,4,143
247,4,31
248,4,76
249,4,62
250,4,106
251,4,42
252,4,166
253,4,207
254,4,158
254,4,162
254,4,153
254,4,75
255,7,30
255,7,11
256,4,38
257,4,101
258,5,1
259,5,100
260,5,41
261,4,144
262,5,138
263,4,4
263,4,164
264,4,198
265,5,72
266,4,83
266,4,121
266,4,26
267,4,37
268,5,104
268,5,151
268,5,156
269,4,205
