CUSTOMER_ID,ORDER_NUMBER,MATERIAL_NUMBER
1,1,1
1,2,2
1,3,3
2,1,4
2,1,5
2,2,6
2,3,7
3,1,8
3,1,9
3,1,10
3,1,5
3,2,10
3,3,11
4,1,12
4,1,13
4,1,14
4,1,15
4,1,16
4,2,17
4,2,18
4,3,19
4,4,20
5,1,21
5,2,22
5,3,23
5,4,24
5,4,25
5,5,26
6,1,27
6,2,28
6,3,29
6,4,30
7,1,31
7,1,32
7,2,31
7,2,32
7,3,32
8,1,33
8,2,34
8,3,35
8,4,36
8,5,20
8,6,37
9,1,38
9,1,39
9,2,40
9,3,38
10,1,41
10,2,42
10,2,43
10,3,43
11,1,44
11,2,45
11,2,46
11,3,44
12,1,27
12,1,47
12,1,48
12,1,49
12,1,50
12,1,51
12,2,52
12,3,53
12,4,54
13,1,25
13,2,55
13,3,25
14,1,56
14,1,21
14,2,56
14,3,47
14,4,3
15,1,34
15,2,57
15,3,44
16,1,58
16,2,58
16,3,59
16,4,60
17,1,61
17,2,34
17,3,62
17,4,63
18,1,64
18,2,65
18,3,14
18,3,38
19,1,66
19,2,40
19,3,2
20,1,67
20,1,68
20,2,69
20,3,70
21,1,52
21,2,71
21,2,72
21,3,71
22,1,58
22,2,73
22,2,74
22,3,75
23,1,76
23,2,77
23,2,69
23,3,78
23,4,76
23,4,69
23,5,69
24,1,40
24,2,79
24,2,80
24,3,80
24,3,81
24,3,82
25,1,75
25,2,75
25,2,83
25,3,84
26,1,85
26,2,44
26,3,44
26,4,86
26,5,1
26,5,87
26,6,88
26,6,89
27,1,38
27,2,38
27,3,89
27,4,90
28,1,77
28,2,13
28,2,91
28,2,92
28,3,13
29,1,93
29,2,94
29,2,76
29,2,91
29,3,77
29,4,95
30,1,96
30,2,97
30,3,98
31,1,15
31,2,94
31,2,76
31,3,99
32,1,55
32,2,100
32,3,100
32,3,29
32,3,55
33,1,77
33,2,82
33,2,2
33,2,33
33,3,82
34,1,88
34,2,88
34,3,88
34,4,96
35,1,46
35,2,101
35,3,11
36,1,90
36,2,50
36,3,69
36,3,102
36,3,103
37,1,104
37,1,83
37,2,85
37,3,22
37,4,37
37,4,104
38,1,54
38,2,96
38,3,31
39,1,105
39,2,105
39,3,2
40,1,106
40,1,107
40,2,108
40,3,18
40,3,77
41,1,109
41,1,33
41,2,109
41,3,109
41,4,109
41,4,110
41,4,93
42,1,111
42,2,79
42,3,79
43,1,81
43,2,112
43,3,8
43,4,113
43,5,30
44,1,113
44,2,69
44,2,114
44,2,115
44,3,116
44,3,117
45,1,25
45,2,118
45,2,83
45,3,76
45,3,25
45,4,119
46,1,120
46,2,47
46,3,76
47,1,121
47,1,46
47,2,121
47,2,122
47,3,76
47,3,121
47,3,61
47,3,107
47,3,123
47,3,95
47,4,124
47,4,107
47,4,107
47,4,124
47,5,95
47,5,46
47,6,47
47,7,107
47,7,95
48,1,125
48,2,34
48,2,11
48,3,125
48,4,125
48,5,11
48,6,15
49,1,21
49,2,20
49,2,59
49,3,110
50,1,116
50,2,54
50,2,52
50,2,84
50,2,97
50,3,126
50,3,116
50,3,16
50,3,38
51,1,14
51,2,67
51,3,125
52,1,12
52,1,127
52,2,17
52,3,17
52,4,34
53,1,51
53,2,128
53,3,27
54,1,67
54,2,129
54,3,130
55,1,72
55,1,114
55,2,113
55,3,56
55,4,131
56,1,121
56,2,3
56,3,132
56,3,133
57,1,112
57,2,134
57,3,112
57,3,135
57,3,39
58,1,136
58,1,119
58,2,119
58,2,137
58,3,119
59,1,12
59,2,64
59,3,138
59,3,76
60,1,64
60,1,72
60,2,139
60,2,72
60,3,65
60,4,140
60,4,139
61,1,10
61,1,55
61,2,25
61,2,2
61,3,10
61,4,129
61,4,25
61,5,25
61,5,129
62,1,39
62,2,67
62,2,39
62,2,100
62,3,39
63,1,43
63,2,30
63,3,109
64,1,141
64,1,35
64,2,22
64,3,95
64,3,142
64,4,85
64,5,143
65,1,144
65,2,89
65,3,145
65,3,146
65,4,147
65,5,128
66,1,148
66,2,69
66,3,131
66,4,91
66,4,131
66,4,148
67,1,132
67,2,28
67,3,149
68,1,150
68,2,69
68,2,77
68,3,151
68,3,105
69,1,146
69,2,152
69,3,95
70,1,28
70,1,114
70,2,47
70,3,109
70,3,58
71,1,2
71,1,150
71,2,120
71,2,3
71,3,39
71,4,25
71,5,3
71,5,151
72,1,75
72,1,63
72,1,153
72,2,154
72,2,25
72,2,87
72,3,87
72,3,54
72,4,89
72,4,53
72,5,78
72,6,145
73,1,40
73,2,121
73,2,106
73,3,44
73,4,93
74,1,155
74,1,95
74,2,131
74,2,155
74,2,70
74,2,16
74,2,126
74,2,113
74,3,81
74,4,81
74,5,2
74,6,70
74,6,113
74,6,155
74,6,131
74,7,61
74,7,156
74,8,155
74,8,131
74,8,153
75,1,28
75,2,157
75,3,157
75,4,93
75,5,80
75,5,24
75,5,124
76,1,77
76,1,21
76,2,158
76,3,118
77,1,159
77,2,132
77,2,159
77,3,159
78,1,48
78,1,127
78,1,48
78,2,21
78,2,37
78,2,48
78,3,21
79,1,29
79,2,29
79,3,29
79,4,29
79,4,139
80,1,160
80,1,67
80,2,118
80,3,136
80,4,67
80,5,14
80,5,67
81,1,161
81,2,97
81,2,121
81,3,9
82,1,150
82,2,136
82,2,150
82,3,136
82,3,150
83,1,69
83,1,39
83,2,67
83,2,83
83,3,67
84,1,133
84,1,162
84,2,132
84,3,121
84,4,132
84,4,162
84,4,121
85,1,12
85,1,84
85,1,104
85,2,163
85,2,89
85,3,123
85,4,89
85,4,95
85,5,89
85,5,144
86,1,131
86,2,90
86,3,10
87,1,2
87,2,67
87,3,84
87,3,67
87,4,67
88,1,87
88,2,87
88,3,87
88,3,2
88,4,2
89,1,21
89,2,76
89,3,24
89,3,21
90,1,58
90,2,103
90,3,164
90,3,63
90,4,63
91,1,101
91,2,137
91,3,101
92,1,21
92,2,83
92,3,93
92,3,11
92,4,11
93,1,155
93,1,160
93,2,165
93,3,166
93,4,167
93,5,69
93,5,39
94,1,36
94,2,168
94,3,78
95,1,77
95,2,113
95,2,169
95,3,24
95,4,77
95,4,157
95,4,128
95,4,113
96,1,160
96,1,7
96,2,170
96,3,7
96,3,160
97,1,48
97,1,150
97,2,37
97,3,129
98,1,148
98,2,53
98,2,101
98,2,136
98,2,48
98,3,71
98,3,49
98,4,48
98,4,171
98,4,53
99,1,107
99,1,151
99,2,79
99,2,108
99,2,84
99,3,73
99,4,69
99,5,83
99,6,83
99,6,122
100,1,95
100,2,25
100,3,25
100,4,95
101,1,129
101,1,37
101,1,155
101,2,155
101,3,125
101,4,37
101,5,76
101,5,98
101,5,126
101,5,58
101,5,61
102,1,155
102,2,155
102,2,95
102,3,155
103,1,98
103,2,113
103,2,172
103,3,98
104,1,71
104,1,61
104,1,154
104,2,71
104,3,173
104,3,71
104,3,61
105,1,155
105,1,91
105,2,160
105,3,77
106,1,4
106,2,120
106,3,174
106,4,78
106,5,88
106,5,95
106,5,174
106,6,120
107,1,121
107,2,151
107,3,10
108,1,22
108,2,175
108,3,134
109,1,82
109,1,176
109,1,113
109,2,73
109,2,93
109,3,50
110,1,53
