CUSTOMER_ID,ORDER_NUMBER,MATERIAL_NUMBER
1,18,219
1,18,4
2,15,174
2,15,35
2,15,23
2,15,27
3,17,649
3,17,63
3,17,1510
3,17,45
3,17,65
4,17,66
4,17,83
4,17,483
5,16,22
6,10,47
6,10,442
6,10,60
6,10,96
6,10,33
7,10,11
7,10,93
8,14,93
8,14,101
9,20,51
9,20,82
9,20,47
10,15,108
11,14,278
11,14,17
12,19,4
13,18,128
13,18,82
14,10,95
14,10,51
14,10,138
15,17,29
15,17,23
16,18,64
17,15,156
17,15,462
17,15,374
17,15,149
18,14,103
18,14,164
19,17,736
19,17,17
19,17,15
20,13,17
20,13,21
20,13,183
20,13,45
21,20,17
21,20,45
22,10,121
22,10,4
22,10,11
23,20,865
23,20,97
24,10,99
24,10,472
24,10,31
24,10,257
24,10,32
25,19,712
25,19,207
26,20,99
27,11,34
27,11,105
28,20,218
29,17,96
30,18,484
30,18,23
30,18,438
30,18,4
30,18,85
31,19,27
31,19,70
32,11,66
32,11,213
33,19,23
33,19,28
34,14,31
34,14,257
34,14,32
35,14,684
36,20,113
36,20,50
36,20,51
36,20,38
36,20,53
37,20,23
37,20,268
37,20,271
38,20,74
38,20,282
38,20,80
38,20,82
38,20,47
39,11,27
40,19,293
40,19,294
40,19,70
40,19,272
41,20,98
41,20,771
41,20,127
42,17,9
42,17,4
43,20,1491
43,20,319
43,20,610
43,20,825
43,20,246
44,14,129
44,14,100
44,14,321
44,14,1086
45,16,22
45,16,23
46,20,74
46,20,82
47,19,108
47,19,246
48,18,819
48,18,114
49,10,51
50,12,103
50,12,1056
51,13,1
51,13,31
51,13,10
52,16,48
53,11,108
53,11,100
53,11,539
53,11,540
53,11,564
54,10,113
55,19,126
55,19,35
55,19,517
55,19,469
55,19,147
56,17,114
57,16,186
57,16,70
58,11,384
58,11,385
58,11,17
58,11,15
59,17,4
60,10,219
61,16,108
61,16,114
62,19,207
62,19,10
63,18,34
63,18,31
63,18,123
64,19,31
64,19,366
65,10,49
65,10,111
65,10,38
66,17,47
67,19,192
67,19,38
68,13,100
68,13,303
68,13,114
69,11,4
70,10,1
71,17,31
72,10,29
72,10,23
73,16,518
73,16,58
73,16,4
73,16,11
74,12,29
74,12,1412
75,12,17
75,12,27
76,10,596
76,10,50
77,11,45
78,18,164
78,18,11
79,10,179
79,10,8
79,10,11
79,10,19
79,10,232
80,20,29
80,20,386
81,20,29
82,13,4
82,13,11
