CUSTOMER_ID,ORDER_NUMBER,MATERIAL_NUMBER
1,5,408
1,5,701
2,4,137
2,4,127
2,4,8
3,3,271
3,3,15
4,3,291
4,3,1330
5,3,549
5,3,130
6,4,291
6,4,54
7,7,108
7,7,32
7,7,158
8,3,38
8,3,196
8,3,270
9,7,330
9,7,29
9,7,855
9,7,715
9,7,1223
10,3,29
10,3,411
10,3,351
11,4,322
11,4,2240
12,7,1752
12,7,143
12,7,9
13,5,188
13,5,1259
13,5,1292
14,4,1099
14,4,94
15,3,276
15,3,1556
16,4,373
16,4,49
16,4,244
17,3,1105
17,3,960
18,4,1381
18,4,2597
19,3,579
19,3,169
19,3,1004
20,5,475
20,5,224
21,4,1692
21,4,2715
21,4,1062
22,3,190
22,3,354
22,3,473
22,3,189
23,3,68
23,3,342
23,3,9
24,3,831
24,3,950
24,3,416
25,5,579
25,5,291
26,3,123
26,3,804
26,3,108
27,12,141
27,12,242
28,3,521
28,3,931
28,3,219
28,3,623
28,3,729
28,3,443
29,5,257
29,5,1258
29,5,626
30,4,411
30,4,164
31,3,1498
31,3,1200
31,3,1683
31,3,1982
32,3,23
32,3,2580
32,3,661
33,6,188
33,6,358
33,6,285
34,3,549
34,3,23
35,3,255
35,3,352
36,4,21
36,4,425
37,4,179
37,4,193
38,3,487
38,3,532
38,3,1819
39,4,629
39,4,158
40,6,203
40,6,526
41,4,917
41,4,340
42,3,778
42,3,910
42,3,1392
43,8,81
43,8,287
44,3,874
44,3,1736
44,3,790
44,3,836
45,3,276
45,3,403
46,4,1142
46,4,1141
47,6,1372
47,6,1180
48,4,94
48,4,676
48,4,811
48,4,1114
49,3,219
49,3,978
49,3,8
50,6,778
50,6,23
51,3,1552
51,3,1014
51,3,75
52,3,565
52,3,291
52,3,4
53,3,622
53,3,2627
54,4,908
54,4,452
55,3,368
55,3,1825
56,3,1160
56,3,242
57,5,740
57,5,849
58,4,2560
58,4,604
58,4,692
58,4,1295
58,4,693
59,4,39
59,4,146
59,4,1699
60,4,125
60,4,1162
61,3,1482
61,3,3
61,3,666
61,3,54
62,5,473
62,5,185
63,3,1921
63,3,596
64,5,1938
64,5,1745
65,4,1974
65,4,1968
66,4,930
66,4,4
67,3,270
67,3,621
67,3,2765
68,4,382
68,4,762
69,4,123
69,4,223
69,4,550
69,4,287
70,3,87
70,3,1441
71,4,1181
71,4,126
71,4,916
71,4,7
71,4,1230
71,4,237
72,3,217
72,3,54
72,3,1280
72,3,43
72,3,108
72,3,2415
72,3,127
73,3,2461
73,3,807
74,6,2619
74,6,1961
75,7,205
75,7,340
76,3,108
76,3,1023
76,3,8
77,3,242
77,3,1266
78,3,618
78,3,865
79,3,123
79,3,351
80,3,509
80,3,1373
81,3,90
81,3,287
82,3,87
82,3,1594
82,3,2272
82,3,153
83,4,200
83,4,1865
84,3,494
84,3,243
84,3,366
85,3,2110
85,3,352
86,4,166
86,4,141
86,4,77
86,4,1825
87,3,95
87,3,580
87,3,114
88,8,255
88,8,141
89,3,442
89,3,427
89,3,1155
89,3,1028
90,6,883
90,6,702
91,9,112
91,9,242
92,4,1132
92,4,1668
93,4,380
93,4,148
93,4,790
94,3,3
94,3,279
95,5,187
95,5,473
96,3,124
96,3,352
97,4,135
97,4,420
98,5,219
98,5,424
98,5,3
98,5,760
99,3,2297
99,3,53
99,3,1230
100,7,9
100,7,77
101,9,420
101,9,53
101,9,432
102,4,2509
102,4,295
103,3,535
103,3,125
103,3,443
104,3,54
104,3,432
105,4,108
105,4,2152
106,9,29
106,9,550
106,9,491
107,6,1877
107,6,1733
107,6,1522
108,4,536
108,4,233
109,4,2241
109,4,210
109,4,2074
110,5,629
110,5,2626
110,5,1682
110,5,1454
111,3,2532
111,3,482
111,3,94
112,3,937
112,3,12
112,3,2199
112,3,149
112,3,1021
112,3,270
112,3,2672
113,3,801
113,3,2664
114,3,39
114,3,355
114,3,147
115,4,622
115,4,841
115,4,676
115,4,39
116,3,190
116,3,360
116,3,191
117,3,108
117,3,2222
118,3,219
118,3,141
119,3,9
119,3,108
120,3,33
120,3,2397
121,4,108
121,4,2608
122,3,108
122,3,1748
123,3,408
123,3,1171
124,4,158
124,4,1223
125,5,3
125,5,127
125,5,8
126,11,329
126,11,8
127,3,3
127,3,220
128,3,212
128,3,112
129,4,3
129,4,153
130,3,219
130,3,125
130,3,35
131,3,148
131,3,367
131,3,937
132,3,1960
132,3,396
132,3,551
133,3,2735
133,3,510
133,3,1176
133,3,133
133,3,1360
134,3,2063
134,3,1673
134,3,1562
134,3,673
134,3,2157
135,5,276
135,5,513
136,3,778
136,3,910
137,3,1771
137,3,91
137,3,1305
138,5,4
138,5,1000
138,5,1162
139,3,518
139,3,1408
140,6,302
140,6,444
140,6,491
141,4,98
141,4,635
142,5,622
142,5,1695
142,5,1663
142,5,1101
142,5,2018
143,8,170
143,8,787
144,5,815
144,5,1437
144,5,626
145,3,1900
