CUSTOMER_ID,ORDER_NUMBER,MATERIAL_NUMBER
1,1,1
1,2,2
1,3,3
1,3,4
1,4,5
2,1,6
2,2,7
2,2,8
2,3,9
2,3,10
3,1,11
3,1,12
3,1,13
3,1,14
3,1,15
3,2,16
3,2,17
3,2,18
3,2,19
4,1,20
4,1,21
4,2,22
5,1,23
5,2,24
6,1,25
6,2,26
6,3,27
7,1,28
7,1,29
7,1,30
7,1,31
7,1,32
7,1,33
7,1,34
7,1,35
7,2,23
7,2,36
7,2,37
7,3,38
7,4,8
7,5,39
7,6,40
7,6,41
7,6,42
7,6,43
7,6,32
7,6,44
7,6,45
8,1,46
8,1,47
8,2,48
9,1,49
9,1,50
9,1,51
9,1,52
9,2,53
9,2,7
9,2,54
9,3,33
9,4,55
9,4,56
9,5,57
9,5,58
9,5,54
9,6,59
10,1,60
10,1,61
10,1,62
10,1,63
10,2,64
11,1,65
11,1,66
11,1,67
11,1,68
11,2,69
11,3,70
12,1,54
12,2,9
12,2,71
12,2,72
12,2,73
12,3,74
12,3,75
12,4,76
12,4,77
12,4,78
12,5,23
12,6,79
13,1,80
13,1,81
13,1,82
13,1,83
13,2,81
13,2,84
13,2,85
13,3,86
13,3,87
13,3,88
13,4,89
13,4,82
14,1,90
14,1,91
14,1,92
14,1,93
14,2,69
14,3,38
14,3,94
15,1,95
15,1,96
15,2,97
16,1,31
16,1,98
16,2,99
16,2,100
16,3,101
16,3,102
16,3,103
16,3,104
17,1,105
17,2,26
17,2,88
18,1,106
18,2,107
18,2,60
18,2,4
18,2,108
18,2,109
18,2,110
18,2,61
18,3,111
19,1,45
19,2,112
19,2,113
19,2,8
20,1,77
20,1,8
20,2,114
20,3,115
20,4,8
21,1,116
21,2,117
21,2,35
21,3,118
22,1,119
22,1,120
22,1,121
22,1,122
22,2,123
22,2,124
22,2,125
23,1,126
23,1,3
23,1,127
23,1,98
23,2,128
24,1,129
24,2,130
25,1,32
25,1,119
25,2,131
25,3,131
25,4,9
25,4,132
26,1,23
26,1,133
26,2,134
27,1,31
27,1,135
27,1,136
27,2,137
27,2,138
27,2,139
27,3,140
27,3,141
27,4,31
27,4,142
27,4,136
27,5,137
27,6,143
27,6,141
27,6,136
27,7,144
27,7,145
27,8,146
27,9,147
27,9,148
27,9,149
27,10,122
27,10,150
27,11,147
27,11,151
28,1,152
28,1,153
28,2,154
28,2,155
28,2,156
28,2,157
29,1,158
29,1,159
29,2,160
29,3,161
29,4,162
30,1,163
30,2,164
30,2,165
30,3,131
31,1,166
31,1,167
31,1,168
31,1,169
31,2,170
32,1,78
32,1,171
32,2,156
32,2,172
32,2,173
33,1,174
33,1,175
33,2,114
33,3,176
33,4,177
33,5,178
34,1,179
34,1,180
34,2,60
34,2,10
34,2,4
35,1,152
35,1,45
35,1,181
35,1,114
35,2,182
36,1,183
36,2,184
36,3,185
36,3,186
36,3,187
36,3,188
36,3,189
36,3,190
36,3,191
37,1,35
37,2,192
37,3,193
38,1,194
38,1,195
38,2,196
39,1,197
39,1,198
39,2,199
39,2,198
39,2,8
39,3,200
39,3,201
39,3,14
39,3,202
40,1,69
40,2,119
40,3,112
40,4,203
40,4,204
40,5,108
41,1,69
41,2,9
41,2,205
41,2,206
41,2,207
41,3,131
42,1,208
42,1,209
42,1,175
42,2,210
42,2,175
43,1,211
43,2,212
43,3,213
43,3,81
43,4,69
43,5,214
43,5,215
43,5,216
43,6,197
43,6,217
43,7,169
44,1,218
44,2,70
45,1,9
45,1,219
45,1,220
45,1,8
45,2,184
46,1,221
46,2,108
46,3,222
46,3,223
47,1,3
47,1,64
47,2,64
47,3,224
47,3,35
47,4,225
47,4,226
47,4,227
47,4,98
47,5,228
47,5,229
48,1,230
48,2,14
48,3,231
48,3,232
49,1,219
49,1,233
49,2,234
50,1,235
50,1,236
50,1,237
50,1,238
50,2,239
50,2,19
50,3,240
50,3,241
50,3,242
50,3,243
50,3,244
50,4,245
50,5,65
50,5,246
50,5,247
50,5,248
50,5,249
50,5,114
50,5,250
50,5,251
51,1,252
51,1,253
51,2,254
52,1,235
52,1,2
52,2,2
53,1,255
53,1,256
53,1,63
53,2,257
54,1,258
54,2,259
54,2,233
54,2,243
54,2,139
54,3,139
55,1,90
55,1,260
55,1,261
55,2,262
55,2,263
55,2,264
55,2,257
55,2,265
56,1,266
56,1,267
56,1,268
56,1,269
56,1,270
56,2,45
56,2,32
57,1,39
57,1,271
57,2,272
57,2,181
57,3,70
57,4,273
57,4,274
57,4,275
58,1,276
58,1,277
58,2,278
58,3,279
58,3,280
59,1,140
59,1,281
59,1,282
59,1,233
59,1,243
59,1,165
59,2,283
59,2,94
59,2,284
59,3,285
59,3,185
59,3,187
59,3,188
59,3,94
59,3,286
60,1,287
60,1,288
60,2,289
60,3,290
61,1,23
61,2,291
61,2,292
62,1,293
62,1,171
62,2,64
62,3,294
62,4,295
63,1,295
63,2,231
63,2,296
64,1,3
64,1,275
64,2,297
64,3,95
64,3,69
64,3,125
64,4,298
65,1,299
65,1,300
65,1,301
65,2,302
65,2,3
65,2,303
65,3,69
66,1,9
66,1,304
66,2,1
66,3,158
67,1,305
67,1,306
67,1,60
67,1,307
67,1,308
67,1,309
67,1,310
67,1,311
67,1,312
67,1,313
67,1,314
67,1,315
67,1,109
67,1,125
67,1,4
67,2,14
67,2,316
67,2,317
68,1,318
68,2,319
68,3,87
69,1,320
69,2,321
69,2,262
69,2,14
69,3,322
69,3,323
70,1,324
70,1,325
70,2,156
70,2,326
71,1,327
71,2,328
71,2,329
71,2,330
71,2,69
71,3,331
72,1,235
72,2,332
73,1,333
73,2,54
74,1,219
74,1,99
74,1,334
74,1,335
74,2,336
74,2,337
74,3,338
74,4,339
74,5,14
75,1,340
75,2,69
75,3,341
75,3,342
75,3,343
75,4,344
75,4,112
75,4,58
75,5,54
75,6,345
76,1,9
76,1,90
76,1,234
76,2,346
76,2,175
77,1,329
77,2,347
77,2,127
77,2,348
78,1,349
78,2,350
79,1,336
79,1,351
79,1,352
79,1,114
79,2,353
79,2,196
79,2,354
79,2,285
79,2,355
79,2,356
79,2,357
79,2,358
79,2,185
79,2,359
79,2,188
79,2,186
79,2,187
79,2,360
79,2,189
79,2,190
79,2,191
80,1,361
80,1,362
80,2,363
81,1,245
81,2,90
81,2,287
82,1,69
82,2,91
83,1,364
83,2,298
83,3,365
84,1,123
84,1,233
84,1,10
84,1,366
84,2,75
85,1,367
85,1,323
85,2,200
86,1,368
86,1,369
86,1,370
86,2,371
86,3,372
87,1,123
87,1,373
87,1,126
87,1,374
87,1,108
87,1,125
87,1,8
87,2,375
88,1,123
88,1,243
88,2,376
88,3,377
88,4,131
88,5,378
88,6,379
88,7,380
88,7,262
89,1,381
89,1,382
89,1,383
89,1,384
89,1,385
89,1,33
89,2,386
89,2,387
89,2,172
89,2,8
90,1,388
90,1,389
90,1,141
90,1,51
90,1,390
90,1,391
90,2,392
90,2,393
90,2,394
90,2,313
90,2,69
90,2,315
90,2,395
90,2,219
90,2,259
90,2,61
90,3,179
90,3,396
90,4,221
90,4,397
90,4,301
90,4,398
90,4,399
90,4,4
90,5,392
90,5,400
90,5,401
