CUSTOMER_ID,ORDER_NUMBER,MATERIAL_NUMBER
1,4,47
1,4,133
1,4,64
1,4,132
2,3,9
2,3,134
3,3,64
3,3,74
4,6,27
4,6,50
4,6,11
4,6,15
5,4,50
5,4,212
5,4,7
5,4,169
5,4,193
6,7,85
6,7,63
7,17,48
7,17,44
7,17,52
7,17,45
7,17,37
7,17,39
8,3,98
8,3,141
8,3,7
8,3,68
9,12,98
9,12,211
9,12,43
9,12,331
10,3,68
10,3,132
11,3,191
11,3,285
11,3,133
11,3,172
11,3,131
12,3,98
12,3,2
12,3,3
13,6,177
13,6,190
13,6,152
13,6,135
13,6,108
13,6,150
13,6,116
13,6,23
14,3,150
14,3,23
14,3,136
14,3,132
15,3,50
15,3,26
16,4,142
16,4,2
16,4,132
17,7,10
17,7,66
18,3,135
18,3,195
18,3,347
19,7,44
19,7,122
19,7,255
19,7,64
19,7,102
19,7,13
19,7,27
19,7,211
19,7,42
19,7,37
20,4,36
20,4,131
20,4,39
21,5,100
21,5,111
21,5,66
22,3,150
22,3,178
22,3,46
23,3,132
23,3,11
23,3,133
23,3,150
23,3,23
24,3,20
24,3,19
25,11,85
25,11,119
26,4,70
26,4,11
26,4,141
26,4,23
26,4,80
27,8,148
27,8,110
27,8,176
28,18,207
28,18,198
28,18,275
28,18,163
29,10,348
29,10,135
30,3,32
30,3,30
30,3,77
30,3,6
31,8,177
31,8,178
32,4,49
32,4,48
33,5,45
33,5,37
33,5,39
34,4,35
34,4,37
35,3,132
35,3,64
35,3,100
35,3,13
35,3,120
36,4,30
36,4,132
37,5,177
37,5,23
38,5,50
38,5,162
38,5,205
38,5,210
38,5,32
38,5,207
38,5,209
38,5,141
38,5,104
38,5,221
39,3,58
39,3,85
40,6,62
40,6,44
40,6,52
40,6,15
40,6,100
40,6,36
40,6,45
40,6,37
40,6,39
41,4,281
41,4,50
41,4,187
41,4,57
42,6,191
42,6,7
42,6,35
42,6,36
42,6,194
43,8,98
43,8,69
44,6,123
44,6,133
45,6,177
45,6,98
45,6,145
45,6,7
45,6,179
45,6,111
45,6,23
46,4,68
46,4,115
47,9,50
47,9,6
48,4,211
48,4,7
48,4,66
48,4,120
49,4,70
49,4,120
50,4,28
50,4,163
51,3,75
51,3,70
51,3,7
51,3,178
51,3,71
51,3,111
51,3,72
51,3,23
51,3,80
52,3,177
52,3,50
52,3,23
52,3,126
53,6,18
53,6,9
53,6,188
53,6,50
54,6,180
54,6,58
54,6,184
54,6,137
54,6,143
55,4,177
55,4,178
56,3,22
56,3,39
57,7,20
57,7,19
57,7,143
57,7,154
58,6,243
58,6,64
58,6,132
59,3,383
59,3,38
60,6,137
60,6,200
61,3,75
61,3,16
61,3,15
61,3,175
61,3,207
61,3,210
62,3,118
62,3,42
62,3,11
63,8,232
63,8,143
64,3,196
64,3,36
65,6,202
65,6,129
65,6,184
66,10,24
66,10,10
67,3,62
67,3,44
67,3,52
67,3,36
67,3,37
68,3,211
68,3,92
69,4,27
69,4,33
69,4,39
70,8,85
70,8,44
71,3,232
71,3,360
71,3,255
71,3,44
72,6,178
72,6,120
73,4,132
73,4,23
73,4,64
73,4,110
73,4,150
73,4,89
74,3,138
74,3,213
75,7,67
75,7,179
75,7,150
75,7,23
75,7,37
75,7,80
76,4,98
76,4,51
77,3,22
77,3,15
77,3,16
78,4,150
78,4,23
78,4,64
79,4,35
79,4,228
79,4,176
80,8,443
80,8,35
80,8,37
81,3,50
81,3,6
81,3,140
81,3,59
81,3,22
81,3,207
81,3,68
81,3,67
81,3,109
81,3,210
82,12,62
82,12,44
82,12,52
82,12,35
82,12,46
83,6,50
83,6,7
83,6,178
83,6,69
84,4,122
84,4,115
85,5,22
85,5,50
85,5,64
85,5,13
86,4,79
86,4,126
87,3,131
87,3,65
88,4,50
88,4,6
88,4,145
88,4,7
88,4,110
88,4,211
88,4,9
89,5,111
89,5,7
90,4,99
90,4,388
91,3,33
91,3,2
92,3,235
92,3,77
92,3,188
92,3,57
93,3,58
93,3,180
94,3,22
94,3,50
94,3,7
95,3,14
95,3,120
95,3,15
96,4,216
96,4,213
97,9,7
97,9,18
97,9,207
98,3,69
98,3,145
98,3,110
98,3,176
98,3,9
99,8,140
99,8,64
99,8,196
99,8,80
99,8,39
100,9,281
100,9,63
100,9,65
101,7,50
101,7,11
102,3,50
102,3,228
102,3,9
103,3,50
103,3,7
104,4,22
104,4,60
104,4,137
105,4,22
105,4,11
106,4,236
106,4,286
106,4,213
107,5,77
107,5,99
108,9,98
108,9,69
109,3,91
109,3,92
110,7,22
110,7,19
110,7,150
110,7,211
110,7,23
111,3,211
111,3,64
112,3,177
112,3,192
112,3,178
112,3,154
112,3,13
112,3,115
113,3,44
113,3,38
113,3,35
113,3,36
113,3,45
113,3,37
114,4,20
114,4,19
114,4,91
114,4,92
115,9,35
115,9,36
115,9,44
116,4,394
116,4,135
117,3,59
117,3,7
117,3,88
118,4,150
118,4,93
118,4,23
118,4,115
119,4,7
119,4,52
119,4,11
120,3,62
120,3,137
120,3,45
120,3,28
120,3,37
120,3,39
121,4,68
121,4,72
121,4,6
122,5,141
122,5,143
123,3,80
123,3,213
124,3,50
124,3,208
124,3,115
125,5,151
125,5,122
125,5,182
125,5,183
125,5,360
125,5,8
126,11,75
126,11,71
127,4,211
127,4,7
127,4,132
128,4,137
128,4,211
129,4,22
129,4,139
130,3,117
130,3,63
130,3,92
131,4,150
131,4,23
132,10,114
132,10,132
132,10,6
132,10,243
132,10,147
132,10,274
132,10,275
132,10,2
132,10,67
132,10,33
133,3,15
133,3,14
133,3,176
133,3,116
133,3,211
133,3,243
134,3,60
134,3,272
135,7,191
135,7,7
136,6,122
136,6,43
136,6,216
137,3,45
137,3,37
137,3,39
138,3,150
138,3,23
139,4,129
139,4,52
139,4,224
139,4,11
139,4,22
139,4,179
139,4,150
139,4,347
139,4,120
139,4,8
139,4,137
139,4,45
139,4,23
139,4,39
140,5,211
140,5,152
141,5,35
141,5,12
142,3,177
142,3,67
142,3,178
142,3,150
142,3,23
143,3,44
143,3,163
143,3,36
143,3,37
143,3,39
144,3,231
144,3,187
145,12,98
145,12,235
145,12,59
146,5,35
146,5,37
147,4,60
147,4,50
148,7,64
148,7,52
149,5,228
149,5,191
149,5,10
149,5,11
150,4,62
150,4,52
150,4,85
150,4,224
150,4,233
150,4,22
150,4,35
150,4,193
150,4,45
150,4,108
151,3,191
151,3,75
151,3,6
151,3,21
151,3,64
151,3,71
151,3,274
151,3,209
151,3,67
151,3,141
151,3,80
152,4,89
152,4,57
153,5,35
153,5,36
153,5,46
153,5,45
153,5,37
153,5,39
154,4,150
154,4,23
155,4,27
155,4,53
156,4,207
156,4,115
157,5,67
157,5,6
158,5,27
158,5,123
158,5,99
159,17,165
159,17,350
160,3,7
160,3,15
161,3,62
161,3,52
161,3,35
161,3,46
161,3,37
161,3,39
162,5,22
162,5,36
162,5,52
162,5,39
163,4,7
163,4,127
164,3,32
164,3,176
165,4,85
165,4,35
165,4,45
165,4,37
166,5,64
166,5,179
166,5,74
166,5,66
166,5,150
166,5,109
166,5,23
167,3,213
167,3,38
168,5,98
168,5,443
168,5,35
169,5,140
169,5,400
170,7,62
170,7,394
170,7,443
170,7,35
170,7,46
170,7,37
170,7,39
171,4,35
171,4,145
171,4,110
172,3,59
172,3,3
173,5,275
173,5,64
174,3,48
174,3,148
175,3,159
175,3,71
175,3,14
175,3,25
175,3,80
176,5,5
176,5,75
176,5,44
176,5,30
176,5,7
176,5,184
176,5,115
176,5,231
176,5,51
176,5,33
176,5,80
176,5,39
177,7,8
177,7,244
177,7,86
177,7,80
178,3,85
178,3,36
178,3,52
179,5,26
179,5,195
179,5,3
180,4,210
180,4,141
180,4,207
180,4,145
181,5,2
181,5,192
182,11,62
182,11,394
182,11,35
182,11,46
182,11,37
182,11,39
183,7,26
183,7,192
183,7,195
184,6,69
184,6,64
185,4,5
185,4,97
185,4,64
185,4,33
185,4,104
185,4,157
186,8,148
186,8,7
186,8,64
186,8,6
187,4,160
187,4,52
187,4,178
187,4,11
187,4,36
187,4,150
188,17,172
188,17,395
189,3,123
189,3,64
189,3,99
189,3,88
190,3,225
190,3,187
190,3,106
190,3,190
190,3,91
190,3,189
190,3,92
190,3,155
190,3,188
190,3,228
190,3,107
190,3,2
190,3,223
190,3,216
191,6,394
191,6,46
191,6,131
191,6,39
192,6,137
192,6,184
192,6,224
192,6,330
193,3,237
193,3,178
193,3,330
193,3,183
193,3,202
193,3,184
193,3,388
193,3,137
193,3,23
194,6,63
194,6,57
195,5,181
195,5,347
196,3,22
196,3,167
197,10,45
197,10,36
197,10,52
198,5,117
198,5,137
198,5,257
199,5,13
199,5,120
200,3,177
200,3,240
200,3,178
200,3,92
201,28,52
201,28,36
201,28,46
201,28,27
201,28,51
201,28,39
202,3,60
202,3,35
202,3,37
203,6,45
203,6,167
203,6,164
203,6,176
204,11,62
204,11,35
204,11,36
204,11,44
205,4,13
205,4,115
206,4,98
206,4,88
207,7,44
207,7,52
207,7,164
207,7,11
207,7,35
207,7,36
207,7,39
208,4,132
208,4,70
208,4,7
208,4,133
208,4,68
208,4,13
208,4,141
209,4,177
209,4,178
210,4,63
210,4,68
211,5,48
211,5,100
211,5,115
212,3,30
212,3,135
212,3,31
212,3,72
212,3,23
213,3,100
213,3,63
214,3,50
214,3,7
215,4,175
215,4,30
215,4,113
215,4,246
216,8,22
216,8,167
217,3,43
217,3,136
217,3,383
218,6,36
218,6,46
219,4,132
219,4,211
219,4,64
219,4,123
219,4,13
219,4,109
220,3,182
220,3,200
221,5,48
221,5,30
222,3,9
222,3,6
222,3,141
222,3,23
222,3,210
222,3,167
223,6,150
223,6,23
224,6,45
224,6,64
224,6,37
225,5,35
225,5,39
226,4,191
226,4,360
226,4,209
226,4,210
226,4,80
227,3,63
227,3,133
227,3,66
228,8,7
228,8,237
228,8,135
228,8,22
228,8,111
228,8,115
229,3,191
229,3,192
229,3,145
229,3,58
229,3,2
229,3,13
229,3,134
229,3,110
229,3,66
230,3,100
230,3,84
231,4,62
231,4,44
231,4,35
231,4,36
231,4,46
231,4,37
231,4,39
232,3,69
232,3,71
233,4,43
233,4,52
233,4,10
233,4,15
233,4,303
233,4,81
234,8,45
234,8,36
234,8,37
234,8,52
235,5,150
235,5,23
236,5,23
236,5,218
236,5,115
237,4,67
237,4,9
237,4,6
238,4,202
238,4,10
239,4,73
239,4,86
240,3,148
240,3,64
240,3,65
241,3,378
241,3,7
241,3,64
241,3,154
241,3,175
241,3,25
241,3,119
242,12,103
242,12,98
243,3,191
243,3,400
243,3,92
243,3,309
243,3,145
243,3,110
243,3,116
243,3,211
244,5,217
244,5,115
245,4,177
245,4,121
245,4,178
246,12,105
246,12,210
247,3,115
247,3,149
248,3,111
248,3,6
249,4,53
249,4,200
249,4,135
249,4,237
250,3,50
250,3,211
251,3,133
251,3,69
251,3,33
251,3,132
252,5,202
252,5,122
252,5,57
252,5,176
253,4,100
253,4,11
253,4,216
254,4,177
254,4,178
255,3,22
255,3,141
255,3,207
255,3,2
256,5,8
256,5,216
257,5,22
257,5,25
257,5,116
257,5,65
258,3,406
258,3,64
259,8,309
259,8,46
259,8,39
260,3,91
260,3,43
260,3,92
260,3,122
260,3,222
260,3,11
260,3,175
260,3,100
260,3,216
261,8,36
261,8,37
261,8,39
262,8,308
262,8,136
262,8,178
262,8,35
262,8,137
262,8,23
262,8,379
263,5,383
263,5,134
264,4,48
264,4,89
265,5,211
265,5,115
266,3,49
266,3,48
266,3,134
267,10,22
267,10,192
267,10,195
268,3,97
268,3,154
268,3,113
268,3,303
268,3,37
269,3,192
269,3,216
270,3,118
270,3,281
271,4,116
271,4,111
271,4,13
272,8,116
272,8,191
272,8,33
272,8,11
273,5,10
273,5,123
274,5,27
274,5,223
275,5,32
275,5,145
275,5,176
276,3,62
276,3,120
276,3,46
276,3,37
276,3,216
277,6,50
277,6,209
277,6,143
277,6,71
278,5,69
278,5,135
279,5,150
279,5,23
280,9,36
280,9,143
280,9,13
281,4,137
281,4,303
282,5,103
282,5,66
283,8,394
283,8,115
284,3,150
284,3,23
285,3,47
285,3,182
285,3,115
286,4,394
286,4,131
287,3,48
287,3,50
287,3,148
287,3,218
287,3,137
287,3,23
287,3,379
288,4,175
288,4,67
288,4,7
288,4,6
289,3,35
289,3,2
290,8,98
290,8,35
290,8,36
290,8,46
290,8,45
290,8,37
290,8,39
291,12,69
291,12,205
291,12,15
291,12,32
291,12,22
291,12,275
291,12,176
291,12,66
291,12,243
291,12,210
292,6,77
292,6,86
293,3,190
293,3,189
293,3,108
293,3,253
294,4,20
294,4,80
294,4,15
295,5,35
295,5,39
296,3,44
296,3,85
296,3,35
296,3,2
296,3,45
296,3,37
297,4,6
297,4,7
297,4,175
297,4,119
297,4,67
297,4,23
298,3,207
298,3,105
299,3,85
299,3,25
299,3,46
300,4,22
300,4,37
300,4,52
301,6,235
301,6,50
301,6,65
301,6,232
301,6,7
301,6,346
301,6,173
301,6,174
301,6,126
301,6,231
302,5,35
302,5,45
302,5,51
302,5,37
302,5,39
303,13,100
303,13,67
303,13,143
303,13,11
304,8,145
304,8,65
305,5,150
305,5,23
306,3,192
306,3,2
307,3,27
307,3,53
307,3,135
308,4,372
308,4,59
309,3,160
309,3,232
309,3,178
309,3,137
309,3,211
310,3,50
310,3,75
310,3,145
310,3,70
310,3,7
310,3,71
310,3,117
310,3,110
310,3,176
310,3,9
310,3,216
311,5,150
311,5,23
312,4,175
312,4,67
312,4,226
312,4,6
313,3,98
313,3,154
313,3,22
313,3,13
313,3,66
313,3,57
314,3,150
314,3,23
315,8,210
315,8,154
315,8,42
315,8,37
315,8,39
316,3,150
316,3,23
317,3,35
317,3,44
318,6,122
318,6,7
318,6,179
318,6,150
318,6,23
318,6,57
319,4,140
319,4,77
319,4,135
319,4,91
320,3,145
320,3,9
320,3,110
321,3,48
321,3,177
321,3,295
321,3,232
321,3,137
321,3,178
321,3,202
321,3,179
321,3,184
321,3,61
321,3,66
321,3,150
321,3,129
321,3,23
321,3,39
322,5,477
322,5,350
323,5,150
323,5,178
324,7,279
324,7,64
325,4,190
325,4,189
325,4,22
325,4,13
325,4,108
326,4,48
326,4,89
326,4,126
