CUSTOMER_ID,ORDER_NUMBER,MATERIAL_NUMBER
1,1,1
1,2,2
1,2,3
1,3,4
2,1,5
2,1,6
2,1,7
2,1,8
2,1,9
2,2,10
2,2,11
3,1,12
3,1,13
3,2,14
3,2,15
3,2,16
4,1,17
4,1,11
4,2,17
4,2,11
4,3,18
4,3,19
4,3,20
4,3,15
4,4,20
4,4,19
4,4,21
4,4,14
4,5,22
4,5,23
5,1,24
5,1,7
5,2,7
5,2,25
5,2,26
5,2,27
5,2,28
5,3,7
6,1,29
6,2,30
6,2,31
6,2,1
6,2,32
6,2,9
6,2,33
6,3,34
6,4,2
6,5,35
6,5,36
6,5,37
6,6,38
7,1,4
7,1,37
7,1,39
7,1,40
7,2,41
7,2,42
7,2,43
7,3,44
7,3,36
7,3,45
7,3,37
7,3,39
7,4,4
7,5,46
7,5,44
7,5,37
7,5,40
7,6,47
7,7,20
7,8,48
7,8,49
7,9,50
7,9,44
7,9,45
7,9,37
7,9,39
7,10,48
7,11,44
7,11,47
7,11,45
7,11,51
7,11,37
7,11,39
7,12,44
7,12,52
7,12,46
7,12,10
7,12,53
7,12,54
7,12,55
7,12,45
7,12,51
7,12,37
7,12,39
7,13,48
7,13,49
7,13,56
7,13,54
7,13,57
7,14,44
7,14,52
7,14,58
7,14,51
7,14,59
7,14,37
7,14,39
7,15,60
7,15,61
7,16,62
7,16,63
7,16,7
7,16,64
7,16,35
7,16,36
7,16,45
7,16,37
8,1,63
8,2,65
8,2,66
9,1,67
9,1,68
9,1,6
9,2,69
9,2,70
9,2,71
9,2,22
9,2,72
9,3,73
9,3,74
9,4,75
9,4,70
9,4,7
9,4,64
9,4,76
9,4,25
9,4,77
9,4,78
9,4,79
9,4,80
9,5,81
9,5,79
9,5,46
9,6,82
9,6,83
9,6,84
9,7,85
9,7,51
9,7,36
9,7,52
9,8,79
9,9,22
9,9,86
9,9,74
9,9,64
9,10,10
9,10,79
9,11,79
10,1,87
10,1,88
10,2,48
10,2,89
10,2,2
11,1,12
11,2,90
12,1,91
12,1,92
12,1,93
12,1,70
12,1,86
12,1,64
12,1,22
12,1,77
12,1,82
12,1,94
12,1,95
12,1,96
12,2,97
12,2,98
12,2,99
12,2,100
12,2,101
13,1,102
13,1,7
13,2,38
13,3,103
13,3,100
13,3,82
13,3,9
13,3,104
13,3,39
13,4,27
13,5,105
14,1,106
14,1,44
14,1,52
14,1,35
14,1,107
14,1,46
14,1,45
14,1,51
14,1,108
14,1,37
14,2,109
15,1,5
15,1,97
15,1,86
15,1,110
15,1,2
15,1,104
15,2,7
15,2,71
15,2,111
15,2,2
15,2,72
15,2,9
16,1,75
16,1,70
16,1,22
16,1,80
16,1,112
16,2,113
16,3,69
17,1,114
17,2,98
17,3,98
17,4,86
17,4,26
17,4,115
17,5,98
17,5,60
17,6,73
17,6,26
17,6,74
18,1,102
18,1,116
18,1,13
18,2,88
18,2,97
18,2,7
18,2,117
18,2,59
18,2,104
19,1,38
19,2,20
19,2,64
19,2,118
19,2,25
19,2,19
19,2,119
19,2,120
19,2,9
19,3,99
19,3,101
19,3,42
19,3,121
19,3,122
19,3,10
19,3,123
19,3,23
19,3,124
19,3,125
19,3,13
19,3,27
19,3,83
19,3,58
19,3,68
19,3,126
19,3,127
19,3,128
19,3,129
19,4,65
19,4,66
19,5,43
19,6,130
20,1,131
20,2,30
20,2,81
20,3,100
21,1,132
21,1,92
21,1,86
21,1,64
21,1,22
21,1,133
21,1,131
21,1,13
21,1,134
21,1,18
21,2,135
21,3,136
21,3,124
21,3,134
21,3,137
21,3,28
21,3,138
21,3,57
21,4,82
22,1,69
22,1,65
22,2,139
22,2,44
22,2,39
22,2,46
23,1,38
23,2,140
23,2,35
23,2,64
23,2,141
24,1,132
24,1,10
24,1,64
24,1,133
24,1,13
24,1,66
24,2,86
25,1,102
25,1,22
25,1,7
25,1,80
25,2,142
25,3,64
25,3,39
25,4,114
25,4,67
25,4,6
25,5,22
25,6,115
25,7,142
25,7,22
25,8,20
25,8,19
25,8,64
25,8,143
25,9,22
25,10,115
26,1,44
26,1,85
26,1,35
26,1,37
26,1,39
26,2,70
26,2,80
26,2,71
26,3,102
27,1,6
27,1,66
27,2,144
27,2,25
27,2,99
27,2,120
27,3,145
27,3,146
27,3,147
27,3,22
27,3,148
27,3,59
27,3,9
27,4,50
27,4,64
27,5,149
27,6,70
27,6,71
27,6,72
27,6,150
27,6,23
27,6,80
27,7,77
27,7,6
27,7,25
27,7,120
28,1,151
28,1,106
28,1,8
28,1,152
28,1,122
28,1,153
28,1,107
28,1,101
28,1,128
28,2,80
28,2,151
28,2,111
28,2,154
28,3,69
28,3,155
28,3,30
28,3,7
28,3,31
28,3,77
28,3,110
28,3,66
28,3,156
28,3,157
28,4,158
28,4,159
28,4,6
28,4,99
28,4,14
28,4,42
28,4,114
28,4,160
28,4,77
28,4,111
28,4,25
28,4,161
28,4,120
28,4,28
28,4,9
28,4,162
28,4,75
28,4,124
28,4,70
28,4,163
28,4,164
28,4,165
28,4,22
28,4,13
28,4,27
28,4,166
28,4,73
28,4,69
28,4,16
28,4,128
28,4,104
28,5,164
28,5,167
28,6,69
28,6,158
28,6,75
28,6,50
28,6,159
28,6,168
28,6,70
28,6,71
28,6,169
28,6,170
28,6,171
28,6,19
28,6,172
28,6,72
28,6,134
28,6,67
28,6,18
28,6,80
28,7,22
28,7,66
28,8,5
28,8,75
28,8,145
28,8,86
28,8,7
28,8,173
28,8,174
28,8,71
28,8,11
28,8,175
28,8,117
28,8,72
28,8,176
28,8,33
28,8,80
28,9,82
28,10,177
28,10,50
28,10,23
28,10,6
28,10,20
28,10,178
28,10,103
28,10,77
28,10,179
28,10,150
28,10,156
28,11,83
28,11,180
28,11,181
28,11,182
28,11,58
28,11,183
28,11,184
28,11,185
28,11,27
28,11,129
28,11,57
28,12,114
28,12,78
28,12,132
28,12,65
28,12,6
28,12,173
28,12,169
28,12,35
28,12,111
28,12,186
28,12,68
28,12,133
28,12,148
28,12,67
28,12,39
28,13,187
28,13,188
28,13,189
28,13,190
28,13,162
28,13,191
28,13,192
28,13,159
28,13,193
28,13,15
28,13,22
28,13,194
28,13,74
28,13,195
28,13,137
28,13,196
28,13,104
28,13,167
28,14,197
28,14,198
28,14,199
28,14,47
28,14,200
28,14,64
28,14,201
28,14,202
28,14,105
28,14,203
28,14,126
28,14,204
28,15,205
28,15,158
28,15,206
28,15,129
28,15,6
28,15,207
28,15,208
28,15,209
28,15,141
28,15,210
28,16,50
28,16,86
28,16,164
28,16,26
28,16,68
28,16,211
28,17,169
28,17,18
28,17,212
28,17,7
29,1,48
29,1,198
29,1,83
29,1,101
29,1,43
29,1,49
29,1,213
29,1,176
29,1,214
29,1,25
29,1,126
29,1,120
29,1,28
29,2,148
29,3,69
29,3,16
29,4,50
29,4,75
29,4,6
29,4,70
29,4,71
29,4,72
29,4,80
29,5,2
29,5,3
29,6,22
29,6,215
29,7,81
29,7,115
29,8,18
29,9,177
29,9,178
29,9,150
29,9,137
29,9,23
30,1,116
30,1,77
30,2,43
31,1,26
31,2,216
31,3,70
31,3,75
31,3,92
31,4,70
31,4,75
